10:24:07.322 | INFO     | ============================================================
10:24:07.322 | INFO     | INIT | circuit=Parcours 7 segments | start=(25,10) | angle=0°
10:24:10.388 | DEBUG    | FUZZY | pos=(238,60) | angle=80.3° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.405 | DEBUG    | FUZZY | pos=(238,63) | angle=81.7° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.434 | DEBUG    | FUZZY | pos=(239,66) | angle=83.1° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.443 | DEBUG    | FUZZY | pos=(239,69) | angle=84.5° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.457 | DEBUG    | FUZZY | pos=(239,72) | angle=85.9° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.473 | DEBUG    | FUZZY | pos=(239,75) | angle=87.3° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.491 | DEBUG    | FUZZY | pos=(240,78) | angle=88.7° | G=0 D=14 delta=14 | mu_N=0.00 mu_Z=0.53 mu_P=0.05 | da=1.40°
10:24:10.509 | DEBUG    | FUZZY | pos=(240,81) | angle=90.1° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.80 mu_P=0.02 | da=0.62°
10:24:10.525 | DEBUG    | FUZZY | pos=(240,84) | angle=90.7° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.80 mu_P=0.02 | da=0.47°
10:24:10.540 | DEBUG    | FUZZY | pos=(240,87) | angle=91.2° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.80 mu_P=0.02 | da=0.44°
10:24:10.568 | DEBUG    | FUZZY | pos=(240,90) | angle=91.6° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.80 mu_P=0.02 | da=0.43°
10:24:10.580 | DEBUG    | FUZZY | pos=(239,93) | angle=92.1° | G=0 D=6 delta=6 | mu_N=0.00 mu_Z=0.80 mu_P=0.02 | da=0.43°
